Unique Identifier,Product,What is your gender? - label,What is your gender? - value,What is your age group? - label,What is your age group? - value,How much do you like or dislike the PACKAGING for this product? - label,How much do you like or dislike the PACKAGING for this product? - value,In scale 1-10 how much do you think this description match with the product PACKAGING - FUN,In scale 1-10 how much do you think this description match with the product PACKAGING - CONVENIENT,In scale 1-10 how much do you think this description match with the product PACKAGING - FAMILIAR,In scale 1-10 how much do you think this description match with the product PACKAGING - CHEAP,In scale 1-10 how much do you think this description match with the product PACKAGING - BORING,In scale 1-10 how much do you think this description match with the product PACKAGING - INDIFFERENT,In scale 1-10 how much do you think this description match with the product PACKAGING - PLAIN,In scale 1-10 how much do you think this description match with the product PACKAGING - PREMIUM,"Before tasting the product, how likely would you be to purchase this product, if you didn't have to buy it for this study? - label","Before tasting the product, how likely would you be to purchase this product, if you didn't have to buy it for this study? - value",Open the packaging. How much do you like or dislike the APPEARANCE of the products? - label,Open the packaging. How much do you like or dislike the APPEARANCE of the products? - value,How would you rate the AMOUNT OF SEASONING of the products? - label,How would you rate the AMOUNT OF SEASONING of the products? - value,Taste the products. How do you like the products OVERALL? - label,Taste the products. How do you like the products OVERALL? - value,How much do you like or dislike the FLAVOR of the products? - label,How much do you like or dislike the FLAVOR of the products? - value,How would you rate the FLAVOR of the products? - label,How would you rate the FLAVOR of the products? - value,How much do you like or dislike the TEXTURE of the products? - label,How much do you like or dislike the TEXTURE of the products? - value,How much do you like or dislike the AFTERTASTE of the products? - label,How much do you like or dislike the AFTERTASTE of the products? - value,"Now that you have tasted the products, how likely would you be to re-purchase the products? - label","Now that you have tasted the products, how likely would you be to re-purchase the products? - value"
100001,A,Female,2,35-44,3,Neither Like nor Dislike (5),5,8,7,3,7,3,3,4,5,Definitely would purchase (5),5,Like Extremely (9),9,Somewhat too much (4),4,Like Slightly (6),6,Like Extremely (9),9,Slightly too strong (4),4,Like Extremely (9),9,Like Very Much (8),8,Probably would purchase (4),4
100002,B,Female,2,45-55,4,Like Very Much (8),8,7,5,6,3,2,3,3,7,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100003,B,Female,2,18-34,2,Like Very Much (8),8,6,7,8,3,3,3,6,3,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Probably would purchase (4),4
100004,B,Male,1,45-55,4,Like Extremely (9),9,9,7,3,3,3,3,6,5,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100005,B,Female,2,18-34,2,Like Very Much (8),8,8,6,7,5,3,4,5,3,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100006,B,Female,2,45-55,4,Like Moderately (7),7,5,3,8,2,4,5,7,5,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,,,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Probably would purchase (4),4
100007,B,Female,2,18-34,2,Like Extremely (9),9,5,5,8,2,3,3,4,4,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,,,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100008,B,Female,2,35-44,3,Like Extremely (9),9,6,8,8,1,3,6,7,5,Might or might not purchase (3),3,Like Very Much (8),8,Just about right (3),3,,,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,,
100009,B,Female,2,18-34,2,Like Very Much (8),8,3,9,3,3,2,5,3,5,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,,
100010,B,Male,1,18-34,2,Like Extremely (9),9,4,4,7,5,6,3,8,5,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Neither Like nor Dislike (5),5,Like Slightly (6),6,Just about right (3),3,Neither Like nor Dislike (5),5,Neither Like nor Dislike (5),5,Might or might not purchase (3),3
